Disease,Symptoms
Vertigo,"Dizziness, Loss of balance, Nausea, Spinning sensation"
Tetanus,"Muscle stiffness, Lockjaw, Fever, Sweating"
Rabies,"Fever, Anxiety, Hallucinations, Excess salivation, Paralysis"
Influenza (Flu) Variant 3,"Fever, Chills, Muscle aches, Cough, Congestion, Runny nose, Headache, Fatigue, "
Diabetes Mellitus Type 2 Variant 4,"Increased thirst, Frequent urination, Hunger, Fatigue, Blurred vision, "
Hypertension (High Blood Pressure) Variant 5,"Headache, Shortness of breath, Nosebleeds , "
Asthma Variant 1,"Shortness of breath, Chest tightness, Wheezing, Coughing , "
Depression Variant 2,"Persistent sadness, Loss of interest, Appetite changes, Sleep disturbances, Suicidal thoughts, "
Osteoporosis Variant 3,"Back pain, Loss of height, Bone fractures, Weak grip strength, "
Bronchitis Variant 4,"Persistent cough, Mucus production, Fatigue, Shortness of breath, Chest discomfort, "
Pneumonia Variant 5,"Fever, Chills, Cough with phlegm, Shortness of breath, Chest pain, "
Tuberculosis Variant 1,"Persistent cough, Night sweats, Fever, Weight loss, Fatigue, "
COVID-19 Variant 2,"Fever, Dry cough, Loss of taste/smell, Shortness of breath, Fatigue, "
Migraine Variant 3,"Throbbing headache, Nausea, Sensitivity to light, Sensitivity to sound, "
Stroke Variant 4,"Sudden numbness or weakness, Confusion, Trouble speaking, Vision problems, Severe headache, "
Heart Failure Variant 5,"Shortness of breath, Fatigue, Swelling in legs, Rapid heartbeat, "
Anemia Variant 1,"Fatigue, Pale skin, Shortness of breath, Dizziness, Cold hands and feet, "
Alzheimer's Disease Variant 2,"Memory loss, Confusion, Difficulty solving problems, Personality changes, "
Parkinson's Disease Variant 3,"Tremors, Stiffness, Slow movement, Balance problems, Speech changes, "
Dengue Fever Variant 4,"High fever, Severe headaches, Pain behind eyes, Joint and muscle pain, Skin rash, "
Malaria Variant 5,"High fever, Chills, Sweating, Nausea, Fatigue, "
Leukemia Variant 1,"Frequent infections, Easy bruising, Fatigue, Fever, Weight loss, "
HIV/AIDS Variant 2,"Weight loss, Frequent infections, Fatigue, Fever, Night sweats, "
Liver Cirrhosis Variant 3,"Fatigue, Jaundice, Abdominal swelling, Loss of appetite, "
Kidney Disease Variant 4,"Frequent urination, Swelling in legs, Fatigue, High blood pressure, "
Skin Cancer Variant 5,"Changes in moles, New skin growths, Sores that don’t heal, Itching or bleeding, "
Schizophrenia Variant 1,"Hallucinations, Delusions, Disorganized thinking, Lack of motivation, "
Peptic Ulcer Variant 2,"Burning stomach pain, Nausea, Bloating, Vomiting, Weight loss, "
Gastritis Variant 3,"Abdominal pain, Nausea, Bloating, Loss of appetite, "
Appendicitis Variant 4,"Severe abdominal pain, Fever, Nausea, Vomiting, "
Obesity Variant 5,"Excess body fat, Shortness of breath, Joint pain, High blood pressure, "
Arthritis Variant 1,"Joint pain, Stiffness, Swelling, Reduced range of motion, "
Epilepsy Variant 2,"Seizures, Uncontrollable movements, Loss of consciousness, Confusion, "
Gallstones Variant 3,"Severe abdominal pain, Nausea, Vomiting, Indigestion, "
Pancreatitis Variant 4,"Severe abdominal pain, Nausea, Vomiting, Fever, "
Hypothyroidism Variant 5,"Fatigue, Weight gain, Cold intolerance, Dry skin, Slow heart rate, "
Hyperthyroidism Variant 1,"Weight loss, Rapid heartbeat, Anxiety, Sweating, Tremors, "
Polycystic Ovary Syndrome (PCOS) Variant 2,"Irregular periods, Weight gain, Acne, Hair thinning, Infertility, "
Gout Variant 3,"Sudden joint pain, Swelling, Redness, Tenderness (often in big toe), "
Chronic Fatigue Syndrome Variant 4,"Extreme fatigue, Sleep disturbances, Joint pain, Memory problems, "
Celiac Disease Variant 5,"Diarrhea, Weight loss, Fatigue, Abdominal pain, Bloating, "
Irritable Bowel Syndrome (IBS) Variant 1,"Abdominal pain, Bloating, Diarrhea or constipation, "
Crohn’s Disease Variant 2,"Severe diarrhea, Weight loss, Fatigue, Abdominal pain, "
Ulcerative Colitis Variant 3,"Bloody diarrhea, Abdominal cramps, Fatigue, Urgency to defecate, "
Hemorrhoids Variant 4,"Rectal pain, Itching, Swelling, Bleeding, "
Sinusitis Variant 5,"Facial pain, Nasal congestion, Headache, Cough, "
Tonsillitis Variant 1,"Sore throat, Swollen tonsils, Fever, Difficulty swallowing, "
Meningitis Variant 2,"Severe headache, Stiff neck, Fever, Nausea, Sensitivity to light, "
Multiple Sclerosis Variant 3,"Numbness, Weakness, Vision problems, Difficulty walking, "
Lupus Variant 4,"Fatigue, Joint pain, Skin rash, Fever, "
Psoriasis Variant 5,"Itchy, Red, Scaly patches on skin, "
Eczema Variant 1,"Itchy, Dry, Inflamed skin, Rashes, "
Vertigo Variant 2,"Dizziness, Loss of balance, Nausea, Spinning sensation, "
Influenza (Flu) Variant 3,"Fever, Chills, Muscle aches, Cough, Congestion, Runny nose, Headache, Fatigue, "
Diabetes Mellitus Type 2 Variant 4,"Increased thirst, Frequent urination, Hunger, Fatigue, Blurred vision, "
Hypertension (High Blood Pressure) Variant 5,"Headache, Shortness of breath, Nosebleeds (sometimes asymptomatic), "
Asthma Variant 1,"Shortness of breath, Chest tightness, Wheezing, Coughing (especially at night), "
Depression Variant 2,"Persistent sadness, Loss of interest, Appetite changes, Sleep disturbances, Suicidal thoughts, "
Osteoporosis Variant 3,"Back pain, Loss of height, Bone fractures, Weak grip strength, "
Bronchitis Variant 4,"Persistent cough, Mucus production, Fatigue, Shortness of breath, Chest discomfort, "
Pneumonia Variant 5,"Fever, Chills, Cough with phlegm, Shortness of breath, Chest pain, "
Tuberculosis Variant 1,"Persistent cough, Night sweats, Fever, Weight loss, Fatigue, "
COVID-19 Variant 2,"Fever, Dry cough, Loss of taste/smell, Shortness of breath, Fatigue, "
Migraine Variant 3,"Throbbing headache, Nausea, Sensitivity to light, Sensitivity to sound, "
Stroke Variant 4,"Sudden numbness or weakness, Confusion, Trouble speaking, Vision problems, Severe headache, "
Heart Failure Variant 5,"Shortness of breath, Fatigue, Swelling in legs, Rapid heartbeat, "
Anemia Variant 1,"Fatigue, Pale skin, Shortness of breath, Dizziness, Cold hands and feet, "
Alzheimer's Disease Variant 2,"Memory loss, Confusion, Difficulty solving problems, Personality changes, "
Parkinson's Disease Variant 3,"Tremors, Stiffness, Slow movement, Balance problems, Speech changes, "
Dengue Fever Variant 4,"High fever, Severe headaches, Pain behind eyes, Joint and muscle pain, Skin rash, "
Malaria Variant 5,"High fever, Chills, Sweating, Nausea, Fatigue, "
Leukemia Variant 1,"Frequent infections, Easy bruising, Fatigue, Fever, Weight loss, "
HIV/AIDS Variant 2,"Weight loss, Frequent infections, Fatigue, Fever, Night sweats, "
Liver Cirrhosis Variant 3,"Fatigue, Jaundice, Abdominal swelling, Loss of appetite, "
Kidney Disease Variant 4,"Frequent urination, Swelling in legs, Fatigue, High blood pressure, "
Skin Cancer Variant 5,"Changes in moles, New skin growths, Sores that don’t heal, Itching or bleeding, "
Schizophrenia Variant 1,"Hallucinations, Delusions, Disorganized thinking, Lack of motivation, "
Peptic Ulcer Variant 2,"Burning stomach pain, Nausea, Bloating, Vomiting, Weight loss, "
Gastritis Variant 3,"Abdominal pain, Nausea, Bloating, Loss of appetite, "
Appendicitis Variant 4,"Severe abdominal pain, Fever, Nausea, Vomiting, "
Obesity Variant 5,"Excess body fat, Shortness of breath, Joint pain, High blood pressure, "
Arthritis Variant 1,"Joint pain, Stiffness, Swelling, Reduced range of motion, "
Epilepsy Variant 2,"Seizures, Uncontrollable movements, Loss of consciousness, Confusion, "
Gallstones Variant 3,"Severe abdominal pain, Nausea, Vomiting, Indigestion, "
Pancreatitis Variant 4,"Severe abdominal pain, Nausea, Vomiting, Fever, "
Hypothyroidism Variant 5,"Fatigue, Weight gain, Cold intolerance, Dry skin, Slow heart rate, "
Hyperthyroidism Variant 1,"Weight loss, Rapid heartbeat, Anxiety, Sweating, Tremors, "
Polycystic Ovary Syndrome (PCOS) Variant 2,"Irregular periods, Weight gain, Acne, Hair thinning, Infertility, "
Gout Variant 3,"Sudden joint pain, Swelling, Redness, Tenderness (often in big toe), "
Chronic Fatigue Syndrome Variant 4,"Extreme fatigue, Sleep disturbances, Joint pain, Memory problems, "
Celiac Disease Variant 5,"Diarrhea, Weight loss, Fatigue, Abdominal pain, Bloating, "
Irritable Bowel Syndrome (IBS) Variant 1,"Abdominal pain, Bloating, Diarrhea or constipation, "
Crohn’s Disease Variant 2,"Severe diarrhea, Weight loss, Fatigue, Abdominal pain, "
Ulcerative Colitis Variant 3,"Bloody diarrhea, Abdominal cramps, Fatigue, Urgency to defecate, "
Hemorrhoids Variant 4,"Rectal pain, Itching, Swelling, Bleeding, "
Sinusitis Variant 5,"Facial pain, Nasal congestion, Headache, Cough, "
Tonsillitis Variant 1,"Sore throat, Swollen tonsils, Fever, Difficulty swallowing, "
Meningitis Variant 2,"Severe headache, Stiff neck, Fever, Nausea, Sensitivity to light, "
Multiple Sclerosis Variant 3,"Numbness, Weakness, Vision problems, Difficulty walking, "
Lupus Variant 4,"Fatigue, Joint pain, Skin rash, Fever, "
Psoriasis Variant 5,"Itchy, Red, Scaly patches on skin, "
Eczema Variant 1,"Itchy, Dry, Inflamed skin, Rashes, "
Vertigo Variant 2,"Dizziness, Loss of balance, Nausea, Spinning sensation, "
Influenza (Flu) Variant 3,"Fever, Chills, Muscle aches, Cough, Congestion, Runny nose, Headache, Fatigue, "
Diabetes Mellitus Type 2 Variant 4,"Increased thirst, Frequent urination, Hunger, Fatigue, Blurred vision, "
Hypertension (High Blood Pressure) Variant 5,"Headache, Shortness of breath, Nosebleeds (sometimes asymptomatic), "
Asthma Variant 1,"Shortness of breath, Chest tightness, Wheezing, Coughing (especially at night), "
Depression Variant 2,"Persistent sadness, Loss of interest, Appetite changes, Sleep disturbances, Suicidal thoughts, "
Osteoporosis Variant 3,"Back pain, Loss of height, Bone fractures, Weak grip strength, "
Bronchitis Variant 4,"Persistent cough, Mucus production, Fatigue, Shortness of breath, Chest discomfort, "
Pneumonia Variant 5,"Fever, Chills, Cough with phlegm, Shortness of breath, Chest pain, "
Tuberculosis Variant 1,"Persistent cough, Night sweats, Fever, Weight loss, Fatigue, "
COVID-19 Variant 2,"Fever, Dry cough, Loss of taste/smell, Shortness of breath, Fatigue, "
Migraine Variant 3,"Throbbing headache, Nausea, Sensitivity to light, Sensitivity to sound, "
Stroke Variant 4,"Sudden numbness or weakness, Confusion, Trouble speaking, Vision problems, Severe headache, "
Heart Failure Variant 5,"Shortness of breath, Fatigue, Swelling in legs, Rapid heartbeat, "
Anemia Variant 1,"Fatigue, Pale skin, Shortness of breath, Dizziness, Cold hands and feet, "
Alzheimer's Disease Variant 2,"Memory loss, Confusion, Difficulty solving problems, Personality changes, "
Parkinson's Disease Variant 3,"Tremors, Stiffness, Slow movement, Balance problems, Speech changes, "
Dengue Fever Variant 4,"High fever, Severe headaches, Pain behind eyes, Joint and muscle pain, Skin rash, "
Malaria Variant 5,"High fever, Chills, Sweating, Nausea, Fatigue, "
Leukemia Variant 1,"Frequent infections, Easy bruising, Fatigue, Fever, Weight loss, "
HIV/AIDS Variant 2,"Weight loss, Frequent infections, Fatigue, Fever, Night sweats, "
Liver Cirrhosis Variant 3,"Fatigue, Jaundice, Abdominal swelling, Loss of appetite, "
Kidney Disease Variant 4,"Frequent urination, Swelling in legs, Fatigue, High blood pressure, "
Skin Cancer Variant 5,"Changes in moles, New skin growths, Sores that don’t heal, Itching or bleeding, "
Schizophrenia Variant 1,"Hallucinations, Delusions, Disorganized thinking, Lack of motivation, "
Peptic Ulcer Variant 2,"Burning stomach pain, Nausea, Bloating, Vomiting, Weight loss, "
Gastritis Variant 3,"Abdominal pain, Nausea, Bloating, Loss of appetite, "
Appendicitis Variant 4,"Severe abdominal pain, Fever, Nausea, Vomiting, "
Obesity Variant 5,"Excess body fat, Shortness of breath, Joint pain, High blood pressure, "
Arthritis Variant 1,"Joint pain, Stiffness, Swelling, Reduced range of motion, "
Epilepsy Variant 2,"Seizures, Uncontrollable movements, Loss of consciousness, Confusion, "
Gallstones Variant 3,"Severe abdominal pain, Nausea, Vomiting, Indigestion, "
Pancreatitis Variant 4,"Severe abdominal pain, Nausea, Vomiting, Fever, "
Hypothyroidism Variant 5,"Fatigue, Weight gain, Cold intolerance, Dry skin, Slow heart rate, "
Hyperthyroidism Variant 1,"Weight loss, Rapid heartbeat, Anxiety, Sweating, Tremors, "
Polycystic Ovary Syndrome (PCOS) Variant 2,"Irregular periods, Weight gain, Acne, Hair thinning, Infertility, "
Gout Variant 3,"Sudden joint pain, Swelling, Redness, Tenderness (often in big toe), "
Chronic Fatigue Syndrome Variant 4,"Extreme fatigue, Sleep disturbances, Joint pain, Memory problems, "
Celiac Disease Variant 5,"Diarrhea, Weight loss, Fatigue, Abdominal pain, Bloating, "
Irritable Bowel Syndrome (IBS) Variant 1,"Abdominal pain, Bloating, Diarrhea or constipation, "
Crohn’s Disease Variant 2,"Severe diarrhea, Weight loss, Fatigue, Abdominal pain, "
Ulcerative Colitis Variant 3,"Bloody diarrhea, Abdominal cramps, Fatigue, Urgency to defecate, "
Hemorrhoids Variant 4,"Rectal pain, Itching, Swelling, Bleeding, "
Sinusitis Variant 5,"Facial pain, Nasal congestion, Headache, Cough, "
Tonsillitis Variant 1,"Sore throat, Swollen tonsils, Fever, Difficulty swallowing, "
Meningitis Variant 2,"Severe headache, Stiff neck, Fever, Nausea, Sensitivity to light, "
Multiple Sclerosis Variant 3,"Numbness, Weakness, Vision problems, Difficulty walking, "
Lupus Variant 4,"Fatigue, Joint pain, Skin rash, Fever, "
Psoriasis Variant 5,"Itchy, Red, Scaly patches on skin, "
